Topic,English,Mandarin,Pinyin,URL
Do you speak English?,I have some difficulty in expressing myself.,我表达起来有点困难。,wǒbiǎodáqǐláiyǒudiǎnkùnnán,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,"I'm always confused with ""s"" and ""th"".",我常把s和th搞混。,wǒchángbǎ hé  gǎohún,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,Can you write in English?,你能用英文写文章吗？,nǐnéngyòngyīngwénxiěwénzhāngmá,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,Your pronunciation is excellent.,你的发音很好。,nǐdefāyīnhěnhǎo,https://www.chinese-tools.com/phrasebook/11-language.html
Do you speak English?,How can I improve my spoken English?,我该怎样才能提高口语水平？,wǒgāizěnyàngcáinéngdīgāokǒuyǔshuǐpíng,https://www.chinese-tools.com/phrasebook/11-language.html
Visiting friends,Hello. Can I see Mr. Green?,你好，我能见格林先生吗？,nǐhǎo wǒnéngjiàngēlínxiānshēngmá,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,Do you have an appointment?,你有预约吗？,nǐyǒuyùyāomá,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,"Sorry, I don't.",对不起，我没有。,duìbúqǐ wǒméiyǒu,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,Yes. At 3 pm.,是的，约的是下午3点。,shìde yāodeshìxiàwǔluediǎn,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,"Sorry, Mr. Green can't see you now.",对不起，格林先生现在不能见您。,duìbúqǐ gēlínxiānshēngxiànzàibúnéngjiànnín,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,He's on the phone.,他在打电话。,tāzàidádiànhuà,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,Would you wait here for a minute?,您能在这里等一下吗？,nínnéngzàizhèlǐděngyīxiàmá,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,Would you like something to drink?,您想喝点什么吗？,nínxiǎnghēdiǎnshénmamá,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,"Tea, please",我喝点茶吧。,wǒhēdiǎnchábā,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,"Mr. Green, Mr. Smith is here.",格林先生，史密斯先生在这里。,gēlínxiānshēng shǐmìsīxiānshēngzàizhèlǐ,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,You may go in now.,您可以进去了。,nínkěyǐjìnqùle,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,"Nice to see you, my old friend.",真高兴见到你，我的老朋友。,zhēngāoxīngjiàndàonǐ wǒdelǎopéngyǒu,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,How have you been these years?,这些年你怎么样？,zhèxiēniánnǐzěnmayàng,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,You've changed little.,你一点也没变。,nǐyīdiǎnyěméibiàn,https://www.chinese-tools.com/phrasebook/10-visit.html
Visiting friends,Do you still remember that Christmas?,你仍记得那个圣诞节吗？,nǐréngjìdénāgěshèngdànjiēmá,https://www.chinese-tools.com/phrasebook/10-visit.html
What time is it?,What time is it now?,现在几点？,xiànzàijīdiǎn,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's two o'clock.,现在两点。,xiànzàiliǎngdiǎn,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's a quarter past five.,现在是五点一刻。,xiànzàishìwǔdiǎnyīkè,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's ten minutes to four.,现在差十分四点。,xiànzàichāshífēnsìdiǎn,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's half past nine.,现在是九点半。,xiànzàishìjiǔdiǎnbàn,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's one o'clock sharp.,现在一点整。,xiànzàiyīdiǎnzhěng,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,It's not four o'clock.,还没到四点呢。,háiméidàosìdiǎnnà,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,My watch says two o'clock.,我的表是两点钟。,wǒdebiǎoshìliǎngdiǎnzhōng,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,My watch is two minutes fast.,我的表快了两分钟。,wǒdebiǎokuàileliǎngfēnzhōng,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,What's the time by your watch?,你的表几点了？,nǐdebiǎojīdiǎnle,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,We must arrive there on time.,我们必须准时到那儿。,wǒmenbìxūzhǔnshídàonāér,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,There are only two minutes left.,只剩两分钟了。,zhīshèngliǎngfēnzhōngle,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,Can you finish your work ahead of time?,你能提前完成工作吗？,nǐnéngdīqiánwánchénggōngzuōmá,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,The flight is delayed.,飞机推迟起飞.,fēijītuīchíqǐfēi,https://www.chinese-tools.com/phrasebook/09-time.html
What time is it?,The meeting is put off.,会议延期了。,huìyìyánjīle,https://www.chinese-tools.com/phrasebook/09-time.html
About objects,Do you have a computer?,你有计算机吗？,nǐyǒujìsuànjīmá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"Yes, I do.",是的，我有。,shìde wǒyǒu,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"He has that book, doesn't he?",他有那本书，是吗？,tāyǒunāběnshū shìmá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"No, he doesn't.",不，他没有。,bú tāméiyǒu,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Do you have any brothers or sisters?,你有兄弟或姐妹吗？,nǐyǒuxiōngdìhuòjiěmèimá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"No, I'm a single son.",没有，我是独生子。,méiyǒu wǒshìdúshēngzǐ,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Could your computer access to internet?,你的电脑能连到互联网吗?,nǐdediànnǎonéngliándàohùliánwǎngmá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Do you have shampoo here?,这儿有洗发水吗？,zhèéryǒuxǐfāshuǐmá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,What a beautiful garden you have!,你的花园真漂亮。,nǐdehuāyuánzhēnpiāoliàng,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Any tickets left?,有剩票吗？,yǒushèngpiàomá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Do you have glue? I need some here,你有胶水吗？我这里需要一点。,nǐyǒujiāoshuǐmá wǒzhèlǐxūyāoyīdiǎn,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,I have some left.,我剩下一些。,wǒshèngxiàyīxiē,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"If you have more, please give me some.",如果你有多的，请给我一些。,rúguǒnǐyǒuduōde qǐnggěiwǒyīxiē,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,Do you have my pencil?,你拿了我的铅笔吗？,nǐnálewǒdeqiānbǐmá,https://www.chinese-tools.com/phrasebook/08-objects.html
About objects,"Yes, I have your eraser, too.",是的，我还拿了你的橡皮。,shìde wǒháinálenǐdexiàngpí,https://www.chinese-tools.com/phrasebook/08-objects.html
What's the date today?,What day is it today?,今天星期几？,jīntiānxīngjījī,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,It's Monday today.,今天是星期一。,jīntiānshìxīngjīyī,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What's the date today?,今天是几号？,jīntiānshìjīháo,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,"It's January the 15th, 1999.",今天是1999年1月15日。,jīntiānshì    nián yuè  rì,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What month is this?,现在是几月？,xiànzàishìjīyuè,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,It's December.,现在是十二月。,xiànzàishìshíèryuè,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What year is this?,今年是哪一年？,jīnniánshìnǎyīnián,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,It's the year of 1999.,今年是1999年。,jīnniánshì    nián,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What will you do during this weekend?,这周末你干什么？,zhèzhōumònǐgānshénma,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,Does the shop open at 9 am on weekdays?,这家店平日是早上9点开门吗？,zhèjiādiànpíngrìshìzǎoshàng diǎnkāiménmá,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,"It opens at 8 am on weekdays, but at 9 at weekends.",平日上午8点开，但周末9点开。,píngrìshàngwǔ diǎnkāi dànzhōumò diǎnkāi,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What will you do the day after on next?,后天你干什么？,hòutiānnǐgānshénma,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,What did you do the week before last?,上上星期你干了什么？,shàngshàngxīngjīnǐgānleshénma,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,I'll work for the next 5 days.,我要工作5天（从明天算起）,wǒyāogōngzuō tiān cōngmíngtiānsuànqǐ,https://www.chinese-tools.com/phrasebook/07-date.html
What's the date today?,It's been 5 years since I last saw you.,我已5年没见你了。,wǒyǐ niánméijiànnǐle,https://www.chinese-tools.com/phrasebook/07-date.html
What's your name?,What's your name?,你叫什么名字？,nǐjiàoshénmamíngzì,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,May I have your name?,能告诉我你的名字吗？,nénggàosùwǒnǐdemíngzìmá,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,My name is Thomas.,我叫汤姆斯。,wǒjiàoshāngmǔsī,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,Just call me Tom.,就叫我汤姆吧。,jiùjiàowǒshāngmǔbā,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,What's your family name?,你姓什么？,nǐxìngshénma,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,My family name is Ayneswonth.,我姓安尼思华斯。,wǒxìngānnísāihuāsī,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,How do you spell it?,怎么拼？,zěnmapīn,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,Who is the lady in white?,穿白衣服的那位小姐是谁？,chuānbáiyīfúdenāwèixiǎojiěshìshéi,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,Could you introduce me to her?,你能把我介绍给她吗？,nǐnéngbǎwǒjièshàogěitāmá,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,"Rose, let me introduce my friend to you.",罗斯，让我介绍一下我的朋友。,luōsī ràngwǒjièshàoyīxiàwǒdepéngyǒu,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,This is Tom. He's my classmate.,这是汤姆。我的同学。,zhèshìshāngmǔ wǒdetóngxué,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,Nice to meet you.,很高兴认识你。,hěngāoxīngrènshínǐ,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,"Nice to meet you, too.",认识你我也很高兴。,rènshínǐwǒyěhěngāoxīng,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,Let me introduce myself.,让我自我介绍一下。,ràngwǒzìwǒjièshàoyīxià,https://www.chinese-tools.com/phrasebook/06-introduction.html
What's your name?,How do you do?,你好！,nǐhǎo,https://www.chinese-tools.com/phrasebook/06-introduction.html
Who are you?,Who are you?,你是谁？,nǐshìshéi,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,I'm Jim.,我是吉姆。,wǒshìjímǔ,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,Who is the guy over there?,那边那个人是谁？,nābiānnāgěrénshìshéi,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,He's Bob.,他是鲍勃。,tāshìbàobó,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,Is that girl a student?,那个女孩是学生吗？,nāgěnǚháishìxuéshēngmá,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,"No, she isn't.",不，她不是。,bú tābúshì,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,What do you do?,你是做什么的？,nǐshìzuòshénmade,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,I'm a farmer.,我是个农民,wǒshìgěnóngmín,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,What is his job?,他是什么工作?,tāshìshénmagōngzuō,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,He's a manager.,他是个经理。,tāshìgějīnglǐ,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,"She must be a model, isn't?",她一定是个模特，不是吗？,tāyīdìngshìgěmótè búshìmá,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,I really don't known.,我真不知道。,wǒzhēnbúzhīdào,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,I have no idea about it.,我一点都不知道。,wǒyīdiǎndōubúzhīdào,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,Can she be a driver?,她可能是个司机吗？,tākěnéngshìgěsījīmá,https://www.chinese-tools.com/phrasebook/05-people.html
Who are you?,"Yes, I think so.",是的，我认为是。,shìde wǒrènwéishì,https://www.chinese-tools.com/phrasebook/05-people.html
"Whose, Where?",I found a backpack.,我捡到一个书包.,wǒjiǎndàoyīgěshūbāo,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Whose watch is this?,这是谁的手表?,zhèshìshéideshǒubiǎo,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Is this yours?,这是你的吗？,zhèshìnǐdemá,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?","Yes, it's mine.",是的，是我的。,shìde shìwǒde,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Where are my glasses?,我的眼镜在哪儿？,wǒdeyǎnjìngzàinǎér,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Do you know where I've put my glasses? .,你知道我把眼镜搁哪儿了吗？,nǐzhīdàowǒbǎyǎnjìnggēnǎérlemá,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Over there.,在那边。,zàinābiān,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",On the desk.,在桌上。,zàizhuōshàng,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Is this your pen? I found it under the desk.,这是你的笔吗？我在桌下捡的。,zhèshìnǐdebǐmá wǒzàizhuōxiàjiǎnde,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",No. Mine is blue.,不是。我的是蓝的。,búshì wǒdeshìlade,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Which one is your bag?,哪个是你的包？,nǎgěshìnǐdebāo,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",The bigger one.,大些的那个。,dàxiēdenāgě,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",The one on your right.,你右边的那个。,nǐyòubiāndenāgě,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Are these books all yours?,这些书全是你的吗？,zhèxiēshūquánshìnǐdemá,https://www.chinese-tools.com/phrasebook/04-belongings.html
"Whose, Where?",Some of them are mine.,一部分是我的,yībùfēnshìwǒde,https://www.chinese-tools.com/phrasebook/04-belongings.html
What's this?,What's this?,这是什么？,zhèshìshénme,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,It's a pen.,是支笔。,shìzhībǐ,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,Is this your handbag?,这是你的手提包吗？,zhèshìnǐdeshǒutíbāoma,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,"No, it isn't. / Yes, it is.",不，它不是。/是的，它是。,bú tābúshì  shìde tāshì,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,Whose jacket is this?,这是谁的夹克?,zhèshìshéidejiākè,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,It's Kate's.,是凯特的。,shìkǎitède,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,Is that a car?,那是一辆小汽车吗？,nāshìyīliàngxiǎoqìchēma,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,"No, it isn't. It's a bus.",不，那是一辆公共汽车。,bù nāshìyīliànggōnggōngqìchē,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,What do you call this in English?,这个用英语怎么说？,zhègěyòngyīngyǔzěnmeshuō,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,What is the color of your new book?,你的新书是什么颜色的？,nǐdexīnshūshìshénmeyánsède,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,How big is your house?,你的房子有多大？,nǐdefángzǐyǒuduōdà,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,What's the problem?,有什么问题吗？,yǒushénmewèntíma,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,What's the name of the cat?,这猫叫什么名字？,zhèmāojiàoshénmemíngzì,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,Where's the company?,那个公司在哪儿？,nāgěgōngsīzàinǎér,https://www.chinese-tools.com/phrasebook/03-what.html
What's this?,Which is the right size?,哪个尺码是对的？,nǎgèchěmǎshìduìde,https://www.chinese-tools.com/phrasebook/03-what.html
In the Classroom,May I come in?,我能进来吗？,wǒnéngjìnláimá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,"Come in, please.",请进。,qǐngjìn,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,"Sit down, please.",请坐。,qǐngzuò,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,It's time for class.,上课时间到了。,shàngkèshíjiāndàole,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Open your books and turn to page 20.,打开书，翻到第2页。,dákāishū fāndàodì yè,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,I'll call the roll before class,课前我要点名。,kèqiánwǒyāodiǎnmíng,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Here!,到！,dào,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Has everybody got the handout?,每个人都拿到材料了吗？,měigěréndōunádàocáiliàolemá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Any different opinion?,有不同意见吗？,yǒubútóngyìjiànmá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Have I made myself clear?,我讲明白了吗？,wǒjiǎngmíngbáilemá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Are you with me?,你们跟上我讲的了吗？,nǐmengēnshàngwǒjiǎngdelemá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Could you say it again?,你能再说一遍吗？,nǐnéngzàishuìyībiànmá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Any questions? .,有什么问题吗？,yǒushénmawèntímá,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,That's all for today.,今天就讲到这里。,jīntiānjiùjiǎngdàozhèlǐ,https://www.chinese-tools.com/phrasebook/02-classroom.html
In the Classroom,Please turn in your homework before leaving.,请在离开前将作业交上。,qǐngzàilíkāiqiánjiāngzuōyèjiāoshàng,https://www.chinese-tools.com/phrasebook/02-classroom.html
Greetings,Hello/Hi!,你好,nǐhǎo,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,Good morning / afternoon / evening!,早晨（下午/晚上）好！,zǎochén xiàwǔ wǎnshàng hǎo,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,I'm John Smith.,我是约翰·史密斯.,wǒshìyuēhàn shǐmìsī,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,Are you Peter King?,你是彼得·金吗?,nǐshìbǐdé jīnma,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"Yes, I am. / No, I'm not.",是，我是。/不，我不是。,shì wǒshì  bù wǒbùshì,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,How are you?,你好吗？,nǐhǎomá,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"Fine, thanks. And you?",很好，谢谢，你呢？,hěnhǎo xièxiè nǐne,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"I'm fine, too.",我也很好。,wǒyěhěnhǎo,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,How is Amy / your wife / your husband?,爱米好吗？/你妻子好吗？/你丈夫好吗?,àimǐhǎoma  nǐqīzǐhǎoma  nǐzhàngfūhǎoma,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"She is very well, thank you.",她很好，谢谢。,tāhěnhǎo xièxiè,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"Good night, Jane.",晚安，简,wǎnān jiǎn,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,"Good-bye, Mike.",再见，迈克。,zàijiàn màikè,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,See you tomorrow.,明天见。,míngtiānjiàn,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,See you later.,待会儿见。,dāihuìérjiàn,https://www.chinese-tools.com/phrasebook/01-greetings.html
Greetings,I have to go now.,我必须走了。,wǒbìxūzǒule,https://www.chinese-tools.com/phrasebook/01-greetings.html
What do you think?,What do you think about it?,你对此怎么看？,nǐduìcǐzěnmakān,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Is that right?,那样对吗？,nāyàngduìmá,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Absolutely right.,绝对正确。,juéduìzhēngquè,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,I think you're mistaken about that.,我想你那样不对。,wǒxiǎngnǐnāyàngbúduì,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Is that ok?,这样行吗？,zhèyànghángmá,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,That's ok/fine.,挺好的。,tǐnghǎode,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,That's excellent.,那太棒了。,nātàibàngle,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,He was absent yesterday. Do you know why?,昨天他没到，你知道为什么吗？,zuótiāntāméidào nǐzhīdàowèishénmema,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Do you have any idea?,你有什么主意?,nǐyǒushénmezhǔyì,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,I suppose he was sick.,我猜他大概是病了。,wǒcāitādàgàishìbìngle,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Will it rain tomorrow?,明天会下雨吗？,míngtiānhuìxiàyǔma,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,"No, I don't think so.",不，我想不会。,bù wǒxiǎngbúhuì,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Do you really want to know what I think?,你真想知道我怎么想吗？,nǐzhēnxiǎngzhīdàowǒzěnmexiǎngma,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,Please give me your advice.,请给我提些建议。,qǐnggěiwǒdīxiējiànyì,https://www.chinese-tools.com/phrasebook/29-opinions.html
What do you think?,I want to hear your opinion.,我想听听你们想法。,wǒxiǎngtīngtīngnǐmenxiǎngfǎ,https://www.chinese-tools.com/phrasebook/29-opinions.html
Habits,I get up at 8 every morning.,每天早上我八点起床。,měitiānzǎoshàngwǒbādiǎnqǐchuáng,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I then take a bath in the bathroom.,然后我去洗澡间洗个澡。,ránhòuwǒqùxǐzǎojiānxǐgězǎo,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,"I shave, brush my teeth, and comb my hair",我洗脸，刷牙，梳头。,wǒxǐliǎn shuāyá shūtóu,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I put on a bit of makeup.,我化一点妆。,wǒhuāyīdiǎnzhuāng,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I cooked breakfast for the family.,我为一家人做早餐。,wǒwéiyījiārénzuòzǎocān,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I go downstairs and have my breakfast.,我下楼吃早饭。,wǒxiàlóuchīzǎofàn,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I read the newspaper over breakfast,我边吃早饭边看报纸。,wǒbiānchīzǎofànbiānkānbàozhǐ,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I wake my sister up.,我叫醒我妹妹。,wǒjiàoxǐngwǒmèimèi,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I dress my sister and wash her hands and face.,我给我妹妹穿衣服，洗脸洗手。,wǒgěiwǒmèimèichuānyīfú xǐliǎnxǐshǒu,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I get to my office at 10:30.,我十点半到办公室。,wǒshídiǎnbàndàobàngōngshì,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I leave the office at 7.,我七点离开办公室。,wǒqīdiǎnlíkāibàngōngshì,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I go shopping every weekend.,我每周末去买东西.,wǒměizhōumòqùmǎidōngxī,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I buy some food on my way home.,我回家路上买些吃的。,wǒhuíjiālùshàngmǎixiēchīde,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,I pick up my sister from her school.,我到学校接妹妹。,wǒdàoxuéjiàojiēmèimèi,https://www.chinese-tools.com/phrasebook/28-habits.html
Habits,We go to bed at 10:30.,我们十点半睡觉。,wǒmenshídiǎnbànshuìjiào,https://www.chinese-tools.com/phrasebook/28-habits.html
Medical and Illness,How are you feeling today?,你今天感觉怎么样？,nǐjīntiāngǎnjiàozěnmayàng,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,I don't feel very well.,我觉得不太舒服。,wǒjiàodébútàishūfú,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,Do you fell better now?,你现在觉得好点了吗？,nǐxiànzàijiàodéhǎodiǎnlemá,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,Much better.,好多了。,hǎoduōle,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,I'm sick.,我病了。,wǒbìngle,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,He's got a bad headache.,他头痛的厉害。,tātóutòngdelìhài,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,My fever is gone.,我的烧已经退了。,wǒdeshāoyǐjīngtuìle,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,What's the matter with you?,你怎么啦？,nǐzěnmalā,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,I've got a pain in my back.,我背疼。,wǒbēiténg,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,It really hurts.,可真疼。,kězhēnténg,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,It hurts right here.,就这儿疼。,jiùzhèérténg,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,It's bleeding. You'd better see a doctor about that cut.,在流血呢，你最好找个医生看看这伤口。,zàiliúxiěnà nǐzuìhǎozhǎogěyīshēngkānkānzhèshāngkǒu,https://www.chinese-tools.com/phrasebook/27-medical.html
Medical and Illness,Call the doctor!,快打电话叫医生！,kuàidádiànhuàjiàoyīshēng,https://www.chinese-tools.com/phrasebook/27-medical.html
